trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-49.649455240684766,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-223.18498766749894,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-86.74765798370963,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-104.07860320091888,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-98.99683066387108,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-93.1183979381928,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-54.67877141919929,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-155.01250503099308,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,14,-64.6775556987143,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-21.688763368630994,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,14,-64.78639571553522,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,12,-18.20821733058314,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-19.79491874205489,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,-40.108876013121936,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-138.54377438580104,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,12,-64.01183792421912,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-47.21496239536613,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-4.920215905860832,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,14.19110544103915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-33.9170609241634,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,4,-9.348910050706746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,5,-35.76903647083407,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,11.696075188903983,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-14.243719294585704,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,7,-59.34284951835201,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,6,15.558067828004475,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-87.64266751752777,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,10.270802875472233,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,13,13.749496783261767,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,4.401109895106481,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
