trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.9344806750218,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,12,-9.120247451755498,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-246.97041530370714,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.970299}",30,0,-197.44967899258552,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-124.78986609764053,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-69.7507527270263,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-79.79785408307693,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-80.80709339445178,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,7,-154.91668798240963,"{0: 8, 1: 3, 2: 3, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-70.30671699884277,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-86.91182128442924,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-119.9116605195603,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-86.14020084187749,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-155.85854045421752,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-137.75483946891788,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-146.19335414695783,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-23.65436889116191,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
