trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.06061082292693,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-85.54559917770665,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801}",30,0,-171.09282124049213,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.970299}",25,0,-47.69799576442506,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-148.64394759415634,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-122.07558469436431,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-148.45094810579656,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,0,-132.90271635010018,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",30,0,-82.21194967599607,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-156.52604485047596,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-93.92446834929248,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-219.72248672758894,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-95.51196549253761,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-56.9748464203166,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-65.65537043994009,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-151.85489111114694,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-115.74524452310166,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,0,-208.12189068571206,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-74.88367196667303,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-116.25185196428376,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-218.28095720684337,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-90.8867583168441,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,8,-3.8178854217944393,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-117.51707634501075,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-162.7845179597537,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,3,-5.536459606358399,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-66.81714079117336,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-122.0556268297712,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-91.9569233676569,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,10,-123.24158025787487,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
11,True,"{'a': 0, 'e': 0}",25,0,-86.29693919255874,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-26.496129221950383,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",25,0,-104.02087481421782,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
14,True,"{'a': 0, 'e': 0}",30,0,-183.83705779213258,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
15,True,"{'a': 0, 'e': 0}",20,0,-95.26967350239474,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
16,True,"{'a': 0, 'e': 0}",30,0,-179.1250277577157,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
17,True,"{'a': 0, 'e': 0}",25,0,-78.72643187026887,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",30,15,-20.403737012013035,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,0,-85.49050523617476,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",20,0,-80.74773117233175,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
